feature,importance
roe,6.626160962794221
turnaround_score,4.73766353012167
listed_shares,4.675536247228216
debt_to_equity,3.8218152433283166
listed_months,3.6392577779834427
revenue_ttm,3.5808180283317914
market_cap,3.4220490852981933
total_assets,3.2982084415689115
macro_ktb_10y_3y_spread,3.078191133496562
low_52w,2.979387702353984
total_liabilities,2.911554656709861
macro_us_10y_2y_spread,2.8210071027140557
net_income_ttm,2.6050206744988142
fundamentals_bsns_year,2.4180283325523315
total_equity,2.353588945014336
operating_income_ttm,2.0367660154307043
operating_income_growth_yoy,1.6041951938912709
atr_14,1.552851355222699
high_52w,1.5163058764428905
macro_ktb_10y_yield,1.4607832566998777
